qc	8.72954
qb	7.37342
qe	9.55486
qd	9.02726
qg	10.7845
qf	9.01073
qi	5.94717
qh	8.52720
qk	11.1281
qj	11.7202
qm	8.52227
ql	8.88113
qo	8.91288
qn	10.2155
qq	10.8232
qp	9.54483
qs	7.76285
qr	9.56568
qu	0.11899
qt	8.06447
qw	7.02904
qv	10.0701
qy	9.95653
qx	12.5310
qz	13.9811
pa	2.89453
pc	7.80855
pb	7.92472
pe	2.52672
pd	8.35990
pg	8.73150
pf	7.74557
pi	4.01285
ph	4.98930
pk	10.0781
pj	10.8976
pm	6.59053
pl	3.19315
po	2.91271
pn	9.41300
pq	12.2357
pp	4.20280
ps	5.23857
pr	2.76623
pu	4.53982
pt	4.55700
pw	7.40255
pv	10.8654
py	7.82362
px	13.6850
pz	13.1759
sa	3.23820
sc	4.71590
sb	5.67550
se	3.17019
sd	6.20699
sg	7.11771
sf	5.54630
si	3.46195
sh	4.08086
sk	6.93364
sj	8.65439
sm	5.66848
sl	5.83715
so	3.56978
sn	6.09306
sq	8.47025
sp	4.74695
ss	3.90743
sr	6.33591
su	4.82255
st	2.39356
sw	5.03237
sv	8.32996
sy	7.00211
sx	12.4430
sz	11.7956
ra	3.25638
rc	5.29462
rb	6.35409
re	2.16769
rd	4.92259
rg	5.88065
rf	6.31579
ri	3.30821
rh	6.52679
rk	5.92946
rj	9.04516
rm	5.21339
rl	5.83261
ro	3.22721
rn	5.27601
rq	10.7684
rp	6.25337
rs	3.68810
rr	5.53683
ru	5.68233
rt	3.67331
rw	6.35332
rv	6.66770
ry	4.96100
rx	12.7898
rz	11.2367
ua	4.67342
uc	4.35027
ub	5.29135
ue	4.57096
ud	5.06475
ug	4.59920
uf	7.38260
ui	5.07222
uh	8.43111
uk	7.82963
uj	10.3755
um	4.73779
ul	3.52518
uo	7.49361
un	2.94234
uq	12.2901
up	4.46404
us	2.89928
ur	2.75574
uu	10.8594
ut	2.95189
uw	8.37527
uv	9.10943
uy	7.78253
ux	9.65964
uz	9.57339
ta	3.88594
tc	6.21692
tb	6.66269
te	3.19210
td	7.36403
tg	7.98097
tf	6.84246
ti	3.17202
th	1.72421
tk	9.30688
tj	9.43241
tm	6.68387
tl	6.16075
to	3.06738
tn	7.76095
tq	11.2464
tp	6.97611
ts	4.35252
tr	4.61076
tu	5.51091
tt	4.31898
tw	5.43908
tv	9.11294
ty	5.59294
tx	13.7449
tz	10.4310
wa	2.23726
wc	7.46814
wb	7.65171
we	2.59014
wd	7.51972
wg	9.14861
wf	7.88353
wi	2.38374
wh	2.74381
wk	9.05794
wj	9.64108
wm	7.29466
wl	6.91529
wo	3.12406
wn	4.44323
wq	12.2548
wp	7.94698
ws	5.31913
wr	6.01613
wu	8.77784
wt	5.93103
ww	6.87885
wv	10.2783
wy	7.16394
wx	14.0508
wz	10.5533
va	3.49271
vc	9.61488
vb	10.6306
ve	0.65847
vd	9.07839
vg	10.8208
vf	10.6861
vi	2.30274
vh	10.5814
vk	11.9784
vj	11.9831
vm	10.3678
vl	9.88246
vo	4.36030
vn	10.4501
vq	14.9247
vp	9.53055
vs	7.82503
vr	8.90691
vu	9.12603
vt	9.52285
vw	9.98690
vv	11.0172
vy	7.63342
vx	13.8236
vz	14.1014
ya	3.30452
yc	4.51516
yb	4.72918
ye	3.46014
yd	5.07477
yg	6.09130
yf	4.95550
yi	4.00299
yh	4.96427
yk	7.51167
yj	7.56138
ym	4.82914
yl	5.15040
yo	2.97638
yn	5.58932
yq	9.66755
yp	4.79201
ys	3.24593
yr	5.14468
yu	6.68428
yt	3.41322
yw	4.40380
yv	7.44150
yy	7.74695
yx	12.0434
yz	9.83562
xa	3.18819
xc	3.56154
xb	6.45339
xe	3.65558
xd	7.09929
xg	7.71256
xf	6.18803
xi	3.00757
xh	5.62837
xk	9.23767
xj	9.59868
xm	6.01435
xl	7.11173
xo	5.28633
xn	7.89033
xq	10.5713
xp	2.16257
xs	5.73858
xr	6.51602
xu	5.80372
xt	2.44831
xw	6.10989
xv	8.04898
xy	6.44898
xx	7.87718
